"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"I showed up late to school and walked into my health classroom because I thought we were in A2 but we were still in A1",FALSE,0,NA,2014-12-12 22:22:41,FALSE,NA,"543531412075581440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BaileyBoo_14",0,FALSE,FALSE,"-77.34930075","37.62378171"
"I have a secret... ""The Sauna is my Happy place"" #fitmom #fightingready #fit #healthy #staystrong‚Ä¶ http://t.co/wSAAOD40wm",FALSE,0,NA,2014-12-12 22:22:32,FALSE,NA,"543531374985359360",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","pjs116",0,FALSE,FALSE,"-80.9339942","34.01505633"
"#TweetMyJobs #Retail #Job alert: Health Enthusiast Part-Time | The Vitamin Shoppe | #Tallahassee, FL http://t.co/saKda1jl8b #Jobs",FALSE,0,NA,2014-12-12 22:22:10,FALSE,NA,"543531281942736896",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","VSIcareers",0,FALSE,FALSE,"-84.261345","30.436216"
"Right when we were getting healthy too http://t.co/rQi0xGLqOR",FALSE,0,NA,2014-12-12 22:22:06,FALSE,NA,"543531265979588608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EShAn_ShAH89",0,FALSE,FALSE,"-82.99407537","40.15744796"
"Bloomingdale, IL area Occupational Therapist Posi... - Soliant Health: (#Bloomingdale, IL) http://t.co/75ykpRAcfy #Healthcare #Job",FALSE,0,NA,2014-12-12 22:21:40,FALSE,NA,"543531156046508033",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Schools",0,FALSE,FALSE,"-88.0809036","41.9575285"
"Housekeeper - Bethesda Health Group: (#BellefontaineNeighbors, MO) http://t.co/NjhOskRRvH #Hospitality #VeteranJob #Job #Jobs",FALSE,1,NA,2014-12-12 22:21:05,FALSE,NA,"543531008495087616",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","BethesdaCareers",0,FALSE,FALSE,"-90.2265001","38.7403281"
"#Healthcare #Job in #Cameron, MO: Occupational Therapist needed immediately... at Supplemental Health Care http://t.co/G1FYZ0RHfK",FALSE,0,NA,2014-12-12 22:21:02,FALSE,NA,"543530998185476096",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_moj_health",0,FALSE,FALSE,"-94.241057","39.7402801"
"#TweetMyJobs #Nursing #Job alert: Registered Nurse | Mercy Health | #Springfield, MO http://t.co/E4HgpaGcow #VeteranJob #Jobs",FALSE,1,NA,2014-12-12 22:20:37,FALSE,NA,"543530892182839296",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","MercyJobs",0,FALSE,FALSE,"-93.274092","37.1799869"
"#Healthcare #Job alert: Radiation Therapy Technologist | Mercy Health | #Joplin, MO http://t.co/h58j2XWMWP #VeteranJob #Jobs",FALSE,1,NA,2014-12-12 22:20:32,FALSE,NA,"543530869688766464",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_mop_health",0,FALSE,FALSE,"-94.5274681","37.0603193"
"Bethesda Health Group #Nursing #Job: CNA (#Kirkwood, MO) http://t.co/s6SYgD7T7P #VeteranJob #Jobs #TweetMyJobs",FALSE,1,NA,2014-12-12 22:20:32,FALSE,NA,"543530868896043009",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","BethesdaCareers",0,FALSE,FALSE,"-90.406785","38.5833862"
"#Pittsboro, NC #Healthcare #Job: SLP-CCC Job in Chatham County at Soliant Health http://t.co/hJUL73n8vL #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:20:02,FALSE,NA,"543530744258129920",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Schools",0,FALSE,FALSE,"-79.1772371","35.7201463"
"#Nursing #Job in #Phillipsburg, NJ: RN / Registered Nurse / Travel Nurse at Supplemental Health Care http://t.co/2fosW7sVBO #Jobs",FALSE,0,NA,2014-12-12 22:20:02,FALSE,NA,"543530744031637504",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","WorkWithSHC",0,FALSE,FALSE,"-75.1901761","40.6937099"
"Menorah Park Center for Senior L... #Nursing #Job: Billing Specialist - Home Health (#Beachwood, OH) http://t.co/dqzdFE2T3P #CLE",FALSE,0,NA,2014-12-12 22:19:58,FALSE,NA,"543530727233433600",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","MenorahParkJobs",0,FALSE,FALSE,"-81.4899136","41.5011199"
"Soliant Health: Travel Med Surg/Telemetry RN Job in Tulsa, OK (#Tulsa, OK) http://t.co/kwu2Bkcuey #Nursing #RN #Job #Jobs",FALSE,0,NA,2014-12-12 22:19:56,FALSE,NA,"543530718974844929",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Nursing",0,FALSE,FALSE,"-95.992775","36.1539816"
"If the Warriors add Ray Allen to the 2nd unit with Lee coming back from injury its gonna be wrap...key is Bogut staying healthy though",FALSE,0,NA,2014-12-12 22:19:49,FALSE,NA,"543530688688185345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Taarec10",1,FALSE,FALSE,"-72.506956","42.1275659"
"Yale New Haven Health Services #Healthcare #Job: System Manager Health &amp; Wellness Program (#NewHaven, CT) http://t.co/GLSiphCEHd",FALSE,0,NA,2014-12-12 22:19:28,FALSE,NA,"543530603207852032",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","YNHHSCareers",0,FALSE,FALSE,"-72.935109","41.302774"
"#Healthcare #Job in #ChicagoHeights, IL: SLPA job in Chicago Heights! at Soliant Health http://t.co/PwEdvCZQTD #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:18:20,FALSE,NA,"543530316552355840",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Schools",0,FALSE,FALSE,"-87.6355995","41.506146"
"#Nursing #Job in #Richmond, VA: RN Access Advocate at VCU Health System http://t.co/SDtLqJBQ5U #Jobs http://t.co/h7oa7TBxOW",FALSE,0,NA,2014-12-12 22:18:03,FALSE,NA,"543530247358918656",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","VCUHealthJobs",0,FALSE,FALSE,"-77.469092","37.542979"
"#Littleton, CO #Clerical #Job: Customer Service Specialist (Littleton CO) Multiple Openings! at CVS Health http://t.co/yLOwvV09nf",FALSE,0,NA,2014-12-12 22:17:47,FALSE,NA,"543530179545419777",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_den_cler",0,FALSE,FALSE,"-105.0166498","39.613321"
"#Springfield, MO #Healthcare #Job: Pharmacy Technician I at Mercy Health http://t.co/VmCCmUHguj #VeteranJob #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:17:47,FALSE,NA,"543530177012051968",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","MercyJobs",0,FALSE,FALSE,"-93.274092","37.1799869"
"‚Äú@ABC: Family of Jahi McMath remains optimistic 1 year after she was decalred brain dead: http://t.co/UqIcW6erkg http://t.co/iCKlOQl0zT‚ÄùWOW!",FALSE,0,"ABC",2014-12-12 22:17:23,FALSE,"543523112566804480","543530079767506944","28785486","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VgGojcaj",0,FALSE,FALSE,"-83.3808308","42.7258672"
"#Healthcare #Job in #Rockville, MD: PRN LPN - Hirsh Health Ce... at Hebrew Home http://t.co/Ssc6323CC7 http://t.co/CgZ0pvNASI",FALSE,0,NA,2014-12-12 22:17:23,FALSE,NA,"543530076743032832",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","CESLCCareers",0,FALSE,FALSE,"-77.123972","39.0533434"
"#Nursing #Job alert: Registered Nurse RN Obstetrics OB | Supplemental Health Care | #Rockport, ME http://t.co/eJBEfefDDZ #Jobs",FALSE,0,NA,2014-12-12 22:17:19,FALSE,NA,"543530061182140417",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","WorkWithSHC",0,FALSE,FALSE,"-69.110256","44.1757122"
"#Marshalltown, IA #HealthWelfare #Job: -Occupational Nurse at Emerson http://t.co/tLxqPb0TuH #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:17:14,FALSE,NA,"543530039929602048",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_iad_health",0,FALSE,FALSE,"-92.9144444","42.0416667"
"#Nursing #Job alert: STAFF RN, FH - 4NE GI/INT MED Job | Froedtert Health | #Milwaukee, WI http://t.co/IoaXqWGwj9 #Jobs",FALSE,0,NA,2014-12-12 22:16:44,FALSE,NA,"543529914851287040",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","FroedtertJobs",0,FALSE,FALSE,"-87.9064736","43.0389025"
"#Winchester, VA #Nursing #Job: Hospitality House Assistant Job at Valley Health Nurses http://t.co/Rh1QLwtkRp #Nurse #Nurse #Jobs",FALSE,0,NA,2014-12-12 22:15:37,FALSE,NA,"543529633191165952",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","ValleyHealthRNs",0,FALSE,FALSE,"-78.1633341","39.1856597"
"Soliant Health #Healthcare #Job: Schools Speech Language Pathologist - SLP Cont... (#WestPalmBeachArea, FL) http://t.co/Yp10dvmMda",FALSE,0,NA,2014-12-12 22:15:04,FALSE,NA,"543529493428596737",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Schools",0,FALSE,FALSE,"-80.0541472","26.7135915"
"Regulatory Coordinator - Mercy Health: (#Springfield, MO) http://t.co/6rG6ZyML1L #Healthcare #VeteranJob #Job #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:14:32,FALSE,NA,"543529362532753408",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","MercyJobs",0,FALSE,FALSE,"-93.274092","37.1799869"
"#KansasCity, MO #Healthcare #Job: SLP needed for School Peds at Supplemental Health Care http://t.co/xLumxmR3Kw #Jobs",FALSE,0,NA,2014-12-12 22:14:32,FALSE,NA,"543529361068933122",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","WorkWithSHC",0,FALSE,FALSE,"-94.4696765","38.9752926"
"Soliant Health #Healthcare #Job: Part Time Speech Language Pathologist (SLP) near Wauke... (#Waukegan, IL) http://t.co/jc7EAhPM3F",FALSE,0,NA,2014-12-12 22:13:26,FALSE,NA,"543529085431857152",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Schools",0,FALSE,FALSE,"-87.8447938","42.3636331"
".@jeremyjleveque @lizcovart I aim for positivity bc it is psychologically healthy and useful to moving fwd to be optimistic. #science :)",FALSE,1,"jeremyjleveque",2014-12-12 22:13:15,FALSE,"543528517447979008","543529036157554688","482573920","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","FromPhDtoLife",0,FALSE,FALSE,"-79.36993","43.6487849"
"Sneak dissin bad for yo health homie Ì†ΩÌ±âÌ†ΩÌ±âÌ†ΩÌ±âÌ†ΩÌ±âÌ†ΩÌ∫™ @MeekMill",FALSE,0,"MeekMill",2014-12-12 22:12:58,FALSE,"543519735678509056","543528967224164353","20567939","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__bintssss",1,FALSE,FALSE,"-82.92453684","40.07439294"
"#Physician #Job alert: Nurse Practitioner | VCU Health System | #Richmond, VA http://t.co/HvnmXYV0Y8 http://t.co/2mLgg8cAWD",FALSE,0,NA,2014-12-12 22:12:57,FALSE,NA,"543528963599900672",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","VCUHealthJobs",0,FALSE,FALSE,"-77.469092","37.542979"
"Soliant Health: Permanent FP Physician job in Fayetteville, NC (#Fayetteville, NC) http://t.co/Ppxea3QSDS #FamilyPractice #Job",FALSE,0,NA,2014-12-12 22:12:50,FALSE,NA,"543528933166039042",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_MDs",0,FALSE,FALSE,"-78.8783585","35.0526641"
"#BowlingGreen, KY #Retail #Job: Health Enthusiast Part-Time at The Vitamin Shoppe http://t.co/6ZVm8fclcf #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:12:21,FALSE,NA,"543528809828319232",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","VSIcareers",0,FALSE,FALSE,"-86.4237818","36.9473185"
"#Nursing #Job in #Waterbury, CT: Registered Nurses / Travel RN at Supplemental Health Care http://t.co/1EvKdBifQK #Jobs",FALSE,0,NA,2014-12-12 22:11:44,FALSE,NA,"543528656358739969",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","WorkWithSHC",0,FALSE,FALSE,"-73.0759446","41.5528933"
"#psychiatry #Job alert: Behavioral Health Tech (7:30 am... | Saint Luke's Health System | #KansasCity, MO http://t.co/eV7iqs6S56",FALSE,0,NA,2014-12-12 22:11:44,FALSE,NA,"543528656153235456",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","SaintLukesJobs",0,FALSE,FALSE,"-94.5998517","39.1041725"
"#FortSmith, AR #Healthcare #Job: Admitting Representative at Mercy Health http://t.co/fikP4Jr3RQ #VeteranJob #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:11:42,FALSE,NA,"543528649412972544",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","MercyJobs",0,FALSE,FALSE,"-94.3527919","35.3558329"
"#Healthcare #Job in #FortMyers, FL: Fort Myers, FL school position for SLP at Soliant Health http://t.co/vOUiRaVbbL #Jobs",FALSE,0,NA,2014-12-12 22:11:42,FALSE,NA,"543528649043890176",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Schools",0,FALSE,FALSE,"-81.8723084","26.640628"
"@LaurelSchuett @sarahjaswim @HintonAlisa @BearStrength @SamHeughan Thanks, I plan to take it easy. Finishing healthy is what is important.",FALSE,1,"LaurelSchuett",2014-12-12 22:11:22,FALSE,"543515518812954625","543528565170388993","28414518","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","carpen_rachel",0,FALSE,FALSE,"-81.25600082","35.47305811"
"Department of Veterans Affairs: (#SaintLouis, MO) http://t.co/ygS9OErgdd #SocialSciences #VeteranJob http://t.co/P9Q0rPWWLA",FALSE,0,NA,2014-12-12 22:11:20,FALSE,NA,"543528554575560704",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","JobsatVA",0,FALSE,FALSE,"-90.224967","38.646991"
"This Is Not Healthy At AllÌ†ΩÌ∏í",FALSE,0,NA,2014-12-12 22:10:54,FALSE,NA,"543528448162299908",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Vonnie_Lashe",0,FALSE,FALSE,"-76.93610674","38.87622944"
"@Alterwired Thanks for your coverage of importance of long term ECG monitoring in patients with #syncope and #afib. http://t.co/bNGstoX8ZZ",FALSE,0,"Alterwired",2014-12-12 22:10:46,FALSE,NA,"543528410568753153","198606465","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drsuneet",0,FALSE,FALSE,"-73.94861516","40.78348441"
"BB: The Falcons kept that quarter close, but Gerstell maintains a healthy lead heading into 4Q. http://t.co/fcm4fGVEcK",FALSE,0,NA,2014-12-12 22:10:41,FALSE,NA,"543528390968737793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MattOwings",0,FALSE,FALSE,"-76.90274228","39.51260946"
"#Retail #Job in #Lincoln, NE: Pharmacist Floater Full Time at CVS Health http://t.co/GN56SLVWdJ #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:10:07,FALSE,NA,"543528248345231360",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_NEO_retail",0,FALSE,FALSE,"-96.681679","40.806862"
"SLP opening at Madison, CT school - Soliant Health: (#Madison, CT) http://t.co/lUe0IwG2vm #Healthcare #Job #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:09:58,FALSE,NA,"543528212656312320",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Schools",0,FALSE,FALSE,"-72.601143","41.278461"
"Cerner CareNet/PowerChart Analyst - Tampa, FL - Soliant Health: (#Tampa, FL) http://t.co/vKK7xxHKNr #IT #Job #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:09:31,FALSE,NA,"543528097807486977",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_IT",0,FALSE,FALSE,"-82.4651441","27.949436"
"Froedtert Health #IT #Job: SYSTEMS ANALYST-CLINICAL APP, FCH - CLINICAL INFORMATI... (#MenomoneeFalls, WI) http://t.co/krwVjzIEKn",FALSE,0,NA,2014-12-12 22:09:01,FALSE,NA,"543527972687196160",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","FroedtertJobs",0,FALSE,FALSE,"-88.1173132","43.1788967"
"#HealthWelfare #Job in #Huntley, IL: PERSONAL TRAINER at Centegra Health System http://t.co/r8EaQtkUeJ #CentegraJobs #Jobs",FALSE,0,NA,2014-12-12 22:08:58,FALSE,NA,"543527960615989249",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","centegracareers",0,FALSE,FALSE,"-88.40097","42.176818"
"#Healthcare #Job in #Springfield, MO: Patient Care Associate at Mercy Health http://t.co/PfsW1YXYkh #VeteranJob #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:08:31,FALSE,NA,"543527846145044480",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","MercyJobs",0,FALSE,FALSE,"-93.274092","37.1799869"
"#SouthHill, VA #Healthcare #Job: Physical Therapist II at VCU Health System http://t.co/UM1MjEkUqi http://t.co/RTWLrqqIK9",FALSE,0,NA,2014-12-12 22:08:08,FALSE,NA,"543527751605432320",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","VCUHealthJobs",0,FALSE,FALSE,"-78.1288857","36.726532"
"Soliant Health: Occupational Therapy contract jobs in FL schools; schoo... (#Lakeland, FL) http://t.co/lkLtpNkSXV #Healthcare #Job",FALSE,0,NA,2014-12-12 22:08:02,FALSE,NA,"543527725906948096",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Schools",0,FALSE,FALSE,"-81.9498042","28.0394654"
"#Retail #Job in #Montgomeryville, PA: Health Enthusiast Part-Time at The Vitamin Shoppe http://t.co/FtqexvA8gJ #Jobs #TweetMyJobs",FALSE,0,NA,2014-12-12 22:07:34,FALSE,NA,"543527605983395840",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","VSIcareers",0,FALSE,FALSE,"-75.242792","40.243497"
"Soliant Health #Nursing #Job: Charleston South Carolina Needs you if you are a Tr... (#Charleston, SC) http://t.co/5z8A23G6Ts #RN",FALSE,0,NA,2014-12-12 22:06:56,FALSE,NA,"543527447405158400",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Nursing",0,FALSE,FALSE,"-79.9309216","32.7765656"
"My hair has grown so much. It feels so healthy and so thick again. I'm loving it. Ì†ΩÌ≤ÅÌ†ΩÌπÜÌ†ΩÌ≤Ü",FALSE,0,NA,2014-12-12 22:06:50,FALSE,NA,"543527423640231936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShotOfMani_",0,FALSE,FALSE,"-81.214696","37.26275487"
"@6abc this is why we need background checks and universal health care please!;@johannarandi",FALSE,0,"6abc",2014-12-12 22:06:38,FALSE,"543514033635487746","543527372797267970","18391051","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johannarandi",0,FALSE,FALSE,"-87.918034","42.3610166"
"#SaintCharles, MO #Nursing #Job: Travel RN - PICU, Pediatric Intensive Care... at Supplemental Health Care http://t.co/Os4SODA2H9",FALSE,0,NA,2014-12-12 22:06:27,FALSE,NA,"543527327854911488",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","WorkWithSHC",0,FALSE,FALSE,"-90.511764","38.788698"
